 [main.py:134:<module>()]- 2021-05-03 15:08:48,710 - ERROR - [WinError 5] Access is denied: 'd:\\Data_Science\\my_projects\\audio_books\\bulk_load/OCR\\Azure'
 [main.py:134:<module>()]- 2021-05-03 15:09:33,682 - ERROR - [WinError 5] Access is denied: 'd:\\Data_Science\\my_projects\\audio_books\\bulk_load/output\\Tesseract'
 [main.py:114:convert_books()]- 2021-05-03 15:09:52,683 - INFO - Total time taken for generating final output: 0.0 minutes
 [main.py:114:convert_books()]- 2021-05-03 15:10:24,480 - INFO - Total time taken for generating final output: 0.0 minutes
 [main.py:115:convert_books()]- 2021-05-03 15:11:33,191 - INFO - Total time taken for generating final output: 0.0 minutes
 [main.py:116:convert_books()]- 2021-05-03 15:11:52,009 - INFO - Total time taken for generating final output: 1.5707810719807944e-05 minutes
 [_code_cache.py:92:_create_comtypes_gen_package()]- 2021-05-03 15:12:42,754 - INFO - Imported existing <module 'comtypes.gen' from 'C:\\Users\\metes\\anaconda3\\envs\\audio_books\\lib\\site-packages\\comtypes\\gen\\__init__.py'>
 [_code_cache.py:73:_find_gen_dir()]- 2021-05-03 15:12:42,754 - INFO - Using writeable comtypes cache directory: 'C:\Users\metes\anaconda3\envs\audio_books\lib\site-packages\comtypes\gen'
 [text_speech.py:53:convert_pdf_to_speech()]- 2021-05-03 15:12:42,912 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/input_files\PyTorch Cheat Sheet.pdf
 [main.py:136:<module>()]- 2021-05-03 15:12:42,912 - ERROR - name 'ocr_engine' is not defined
 [_code_cache.py:92:_create_comtypes_gen_package()]- 2021-05-03 15:15:15,219 - INFO - Imported existing <module 'comtypes.gen' from 'C:\\Users\\metes\\anaconda3\\envs\\audio_books\\lib\\site-packages\\comtypes\\gen\\__init__.py'>
 [_code_cache.py:73:_find_gen_dir()]- 2021-05-03 15:15:15,220 - INFO - Using writeable comtypes cache directory: 'C:\Users\metes\anaconda3\envs\audio_books\lib\site-packages\comtypes\gen'
 [text_speech.py:53:convert_pdf_to_speech()]- 2021-05-03 15:15:15,356 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/input_files\PyTorch Cheat Sheet.pdf
 [text_speech.py:76:convert_pdf_to_speech()]- 2021-05-03 15:15:15,456 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/PyTorch Cheat Sheet.mp3
 [main.py:136:<module>()]- 2021-05-03 15:15:19,663 - ERROR - name 'pdf_files' is not defined
